Opcode: JMP 4C F5 C5 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFD PC: 0x8000 P: 0x24 CYC: 7, PPU: cycle 21, scanline 0
Opcode: LDX A2 0 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFD PC: 0xC5F5 P: 0x24 CYC: 10, PPU: cycle 30, scanline 0
Opcode: STX 86 0 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFD PC: 0xC5F7 P: 0x26 CYC: 12, PPU: cycle 36, scanline 0
Opcode: STX 86 10 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFD PC: 0xC5F9 P: 0x26 CYC: 15, PPU: cycle 45, scanline 0
Opcode: STX 86 11 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFD PC: 0xC5FB P: 0x26 CYC: 18, PPU: cycle 54, scanline 0
Opcode: JSR 20 2D C7 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFD PC: 0xC5FD P: 0x26 CYC: 21, PPU: cycle 63, scanline 0
Opcode: NOP EA A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC72D P: 0x26 CYC: 27, PPU: cycle 81, scanline 0
Opcode: SEC 38 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC72E P: 0x26 CYC: 29, PPU: cycle 87, scanline 0
Opcode: BCS B0 4 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC72F P: 0x27 CYC: 31, PPU: cycle 93, scanline 0
Opcode: NOP EA A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC735 P: 0x27 CYC: 34, PPU: cycle 102, scanline 0
Opcode: CLC 18 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC736 P: 0x27 CYC: 36, PPU: cycle 108, scanline 0
Opcode: BCS B0 3 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC737 P: 0x26 CYC: 38, PPU: cycle 114, scanline 0
Opcode: JMP 4C 40 C7 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC739 P: 0x26 CYC: 40, PPU: cycle 120, scanline 0
Opcode: NOP EA A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC740 P: 0x26 CYC: 43, PPU: cycle 129, scanline 0
Opcode: SEC 38 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC741 P: 0x26 CYC: 45, PPU: cycle 135, scanline 0
Opcode: BCC 90 3 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC742 P: 0x27 CYC: 47, PPU: cycle 141, scanline 0
Opcode: JMP 4C 4B C7 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC744 P: 0x27 CYC: 49, PPU: cycle 147, scanline 0
Opcode: NOP EA A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC74B P: 0x27 CYC: 52, PPU: cycle 156, scanline 0
Opcode: CLC 18 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC74C P: 0x27 CYC: 54, PPU: cycle 162, scanline 0
Opcode: BCC 90 4 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC74D P: 0x26 CYC: 56, PPU: cycle 168, scanline 0
Opcode: NOP EA A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC753 P: 0x26 CYC: 59, PPU: cycle 177, scanline 0
Opcode: LDA A9 0 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC754 P: 0x26 CYC: 61, PPU: cycle 183, scanline 0
Opcode: BEQ F0 4 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC756 P: 0x26 CYC: 63, PPU: cycle 189, scanline 0
Opcode: NOP EA A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC75C P: 0x26 CYC: 66, PPU: cycle 198, scanline 0
Opcode: LDA A9 40 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC75D P: 0x26 CYC: 68, PPU: cycle 204, scanline 0
Opcode: BEQ F0 3 A: 0x40 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC75F P: 0x24 CYC: 70, PPU: cycle 210, scanline 0
Opcode: JMP 4C 68 C7 A: 0x40 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC761 P: 0x24 CYC: 72, PPU: cycle 216, scanline 0
Opcode: NOP EA A: 0x40 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC768 P: 0x24 CYC: 75, PPU: cycle 225, scanline 0
Opcode: LDA A9 40 A: 0x40 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC769 P: 0x24 CYC: 77, PPU: cycle 231, scanline 0
Opcode: BNE D0 4 A: 0x40 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC76B P: 0x24 CYC: 79, PPU: cycle 237, scanline 0
Opcode: NOP EA A: 0x40 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC771 P: 0x24 CYC: 82, PPU: cycle 246, scanline 0
Opcode: LDA A9 0 A: 0x40 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC772 P: 0x24 CYC: 84, PPU: cycle 252, scanline 0
Opcode: BNE D0 3 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC774 P: 0x26 CYC: 86, PPU: cycle 258, scanline 0
Opcode: JMP 4C 7D C7 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC776 P: 0x26 CYC: 88, PPU: cycle 264, scanline 0
Opcode: NOP EA A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC77D P: 0x26 CYC: 91, PPU: cycle 273, scanline 0
Opcode: LDA A9 FF A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC77E P: 0x26 CYC: 93, PPU: cycle 279, scanline 0
Opcode: STA 85 1 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC780 P: 0xA4 CYC: 95, PPU: cycle 285, scanline 0
Opcode: BIT 24 1 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC782 P: 0xA4 CYC: 98, PPU: cycle 294, scanline 0
Opcode: BVS 70 4 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC784 P: 0xE4 CYC: 101, PPU: cycle 303, scanline 0
Opcode: NOP EA A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC78A P: 0xE4 CYC: 104, PPU: cycle 312, scanline 0
Opcode: BIT 24 1 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC78B P: 0xE4 CYC: 106, PPU: cycle 318, scanline 0
Opcode: BVC 50 3 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC78D P: 0xE4 CYC: 109, PPU: cycle 327, scanline 0
Opcode: JMP 4C 96 C7 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC78F P: 0xE4 CYC: 111, PPU: cycle 333, scanline 0
Opcode: NOP EA A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC796 P: 0xE4 CYC: 114, PPU: cycle 1, scanline 1
Opcode: LDA A9 0 A: 0xFF X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC797 P: 0xE4 CYC: 116, PPU: cycle 7, scanline 1
Opcode: STA 85 1 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC799 P: 0x66 CYC: 118, PPU: cycle 13, scanline 1
Opcode: BIT 24 1 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC79B P: 0x66 CYC: 121, PPU: cycle 22, scanline 1
Opcode: BVC 50 4 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC79D P: 0x26 CYC: 124, PPU: cycle 31, scanline 1
Opcode: NOP EA A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7A3 P: 0x26 CYC: 127, PPU: cycle 40, scanline 1
Opcode: BIT 24 1 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7A4 P: 0x26 CYC: 129, PPU: cycle 46, scanline 1
Opcode: BVS 70 3 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7A6 P: 0x26 CYC: 132, PPU: cycle 55, scanline 1
Opcode: JMP 4C AF C7 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7A8 P: 0x26 CYC: 134, PPU: cycle 61, scanline 1
Opcode: NOP EA A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7AF P: 0x26 CYC: 137, PPU: cycle 70, scanline 1
Opcode: LDA A9 0 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7B0 P: 0x26 CYC: 139, PPU: cycle 76, scanline 1
Opcode: BPL 10 4 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7B2 P: 0x26 CYC: 141, PPU: cycle 82, scanline 1
Opcode: NOP EA A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7B8 P: 0x26 CYC: 144, PPU: cycle 91, scanline 1
Opcode: LDA A9 80 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7B9 P: 0x26 CYC: 146, PPU: cycle 97, scanline 1
Opcode: BPL 10 3 A: 0x80 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7BB P: 0xA4 CYC: 148, PPU: cycle 103, scanline 1
Opcode: JMP 4C D9 C7 A: 0x80 X: 0x0 Y: 0x0 SP: 0xFB PC: 0xC7BD P: 0xA4 CYC: 150, PPU: cycle 109, scanline 1
