Emulator Reset
Opcode: SEI 78 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFD PC: 0xC004 P: 0x24 CYC: 7, PPU: cycle 21, scanline 0
Opcode: CLD D8 A: 0x0 X: 0x0 Y: 0x0 SP: 0xFD PC: 0xC005 P: 0x24 CYC: 9, PPU: cycle 27, scanline 0
Opcode: LDX A2 FF A: 0x0 X: 0x0 Y: 0x0 SP: 0xFD PC: 0xC006 P: 0x24 CYC: 11, PPU: cycle 33, scanline 0
Opcode: TXS 9A A: 0x0 X: 0xFF Y: 0x0 SP: 0xFD PC: 0xC008 P: 0xA4 CYC: 13, PPU: cycle 39, scanline 0
Opcode: LDA AD 2 20 A: 0x0 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC009 P: 0xA4 CYC: 15, PPU: cycle 45, scanline 0
Opcode: BPL 10 FB A: 0xE0 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00C P: 0xA4 CYC: 19, PPU: cycle 57, scanline 0
Opcode: LDA AD 2 20 A: 0xE0 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0xA4 CYC: 21, PPU: cycle 63, scanline 0
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 25, PPU: cycle 75, scanline 0
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 28, PPU: cycle 84, scanline 0
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 32, PPU: cycle 96, scanline 0
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 35, PPU: cycle 105, scanline 0
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 39, PPU: cycle 117, scanline 0
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 42, PPU: cycle 126, scanline 0
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 46, PPU: cycle 138, scanline 0
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 49, PPU: cycle 147, scanline 0
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 53, PPU: cycle 159, scanline 0
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 56, PPU: cycle 168, scanline 0
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 60, PPU: cycle 180, scanline 0
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 63, PPU: cycle 189, scanline 0
Opcode: BPL 10 FB A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC011 P: 0x24 CYC: 67, PPU: cycle 201, scanline 0
Opcode: LDA AD 2 20 A: 0x60 X: 0xFF Y: 0x0 SP: 0xFF PC: 0xC00E P: 0x24 CYC: 70, PPU: cycle 210, scanline 0
