C006  A2 FF     LDX #$FF                        f0      c11          i2           A:00 X:FF Y:00 P:A4 SP:FD v:0000 t:0000 x:0 w:0 CYC: 33 SL:-1  2002:00 2004:00 2007:00 
C008  9A        TXS                             f0      c13          i3           A:00 X:FF Y:00 P:A4 SP:FF v:0000 t:0000 x:0 w:0 CYC: 39 SL:-1  2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c15          i4           A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 45 SL:-1  2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c19          i5           A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 57 SL:-1  2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c22          i6           A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 66 SL:-1  2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c26          i7           A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 78 SL:-1  2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c29          i8           A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 87 SL:-1  2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c33          i9           A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 99 SL:-1  2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c36          i10          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:108 SL:-1  2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c40          i11          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:120 SL:-1  2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c43          i12          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:129 SL:-1  2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c47          i13          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:141 SL:-1  2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c50          i14          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:150 SL:-1  2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c54          i15          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:162 SL:-1  2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c57          i16          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:171 SL:-1  2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c61          i17          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:183 SL:-1  2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c64          i18          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:192 SL:-1  2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c68          i19          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:204 SL:-1  2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c71          i20          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:213 SL:-1  2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c75          i21          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:225 SL:-1  2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c78          i22          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:234 SL:-1  2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c82          i23          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:246 SL:-1  2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c85          i24          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:255 SL:-1  2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c89          i25          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:267 SL:-1  2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c92          i26          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:276 SL:-1  2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c96          i27          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:288 SL:-1  2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c99          i28          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:297 SL:-1  2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c103         i29          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:309 SL:-1  2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c106         i30          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:318 SL:-1  2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c110         i31          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:330 SL:-1  2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c113         i32          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:339 SL:-1  2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c117         i33          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 10 SL:0   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c120         i34          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 19 SL:0   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c124         i35          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 31 SL:0   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c127         i36          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 40 SL:0   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c131         i37          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 52 SL:0   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c134         i38          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 61 SL:0   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c138         i39          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 73 SL:0   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c141         i40          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 82 SL:0   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c145         i41          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC: 94 SL:0   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c148         i42          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:103 SL:0   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c152         i43          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:115 SL:0   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c155         i44          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:124 SL:0   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c159         i45          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:136 SL:0   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c162         i46          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:145 SL:0   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c166         i47          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:157 SL:0   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c169         i48          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:166 SL:0   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c173         i49          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:178 SL:0   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c176         i50          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:187 SL:0   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c180         i51          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:199 SL:0   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c183         i52          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:208 SL:0   2002:00 2004:00 2007:00 
C00C  10 FB     BPL $C009                       f0      c187         i53          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:220 SL:0   2002:00 2004:00 2007:00 
C009  AD 02 20  LDA $2002 = 00                  f0      c190         i54          A:00 X:FF Y:00 P:26 SP:FF v:0000 t:0000 x:0 w:0 CYC:229 SL:0   2002:00 2004:00 2007:00 
